Time,STF,STF+0.3,STF-0.3,JMA EEW, JMA – STF,FinDer2,FinDer2-STF,BEFORES,BEFORES-STF,PEGSNet (This study),PEGSNET – STF
1,5.99580483,6.29580483,5.69580483,0.194604174,-5.801200656,0.166666667,-5.829138163,0.341548527,-5.654256303,6.856372497,0.860567667
2,6.397178158,6.697178158,6.097178158,0.389208349,-6.007969809,0.333333333,-6.063844824,0.683097053,-5.714081104,6.851718608,0.45454045
3,6.631966503,6.931966503,6.331966503,0.583812523,-6.04815398,0.5,-6.131966503,1.02464558,-5.607320923,6.850735905,0.218769402
4,6.798551485,7.098551485,6.498551485,0.778416697,-6.020134788,0.666666667,-6.131884818,1.366194106,-5.432357379,6.849742844,0.051191359
5,6.927764836,7.227764836,6.627764836,0.973020872,-5.954743964,0.833333333,-6.094431502,1.707742633,-5.220022203,6.838789199,-0.088975636
6,7.03333983,7.33333983,6.73333983,1.167625046,-5.865714784,1,-6.03333983,2.04929116,-4.984048671,6.836299776,-0.197040054
7,7.122602217,7.422602217,6.822602217,1.36222922,-5.760372996,1.166666667,-5.95593555,2.390839686,-4.731762531,6.840998764,-0.281603453
8,7.199924813,7.499924813,6.899924813,1.556833395,-5.643091418,1.333333333,-5.866591479,2.732388213,-4.4675366,6.844536087,-0.355388726
9,7.268128176,7.568128176,6.968128176,1.751437569,-5.516690607,1.5,-5.768128176,3.073936739,-4.194191437,6.851441059,-0.416687117
10,7.329138163,7.629138163,7.029138163,1.946041743,-5.38309642,1.666666667,-5.662471497,3.415485266,-3.913652897,6.85487589,-0.474262273
11,7.387239132,7.687239132,7.087239132,2.140645918,-5.246593214,1.833333333,-5.553905799,3.757033793,-3.63020534,6.843967058,-0.543272074
12,7.444382485,7.744382485,7.144382485,2.335250092,-5.109132393,2,-5.444382485,4.098582319,-3.345800166,6.843255096,-0.60112739
13,7.499325037,7.799325037,7.199325037,2.529854266,-4.969470771,2.166666667,-5.332658371,4.440130846,-3.059194192,6.848462384,-0.650862654
14,7.551518703,7.851518703,7.251518703,2.724458441,-4.827060262,2.333333333,-5.218185369,4.781679372,-2.76983933,6.85618608,-0.695332622
15,7.60080523,7.90080523,7.30080523,2.919062615,-4.681742614,2.5,-5.10080523,5.123227899,-2.477577331,6.853592041,-0.747213189
16,7.647231489,7.947231489,7.347231489,3.113666789,-4.5335647,2.666666667,-4.980564823,5.464776425,-2.182455064,7.169854495,-0.477376995
17,7.690944207,7.990944207,7.390944207,3.308270964,-4.382673243,2.833333333,-4.857610873,5.806324952,-1.884619255,7.170095252,-0.520848954
18,7.732132098,8.032132098,7.432132098,3.502875138,-4.22925696,3,-4.732132098,6.135156672,-1.596975426,7.224831959,-0.507300139
