time,lat,lon,dep,mag
2023-06-16T07:23:29.956000Z,64.4203,-163.6382,14.2,4.2
2023-06-16T07:04:13.434000Z,55.3289,-156.7338,9.5,4.6
2023-06-13T20:08:13.519000Z,61.3905,-150.8825,56.5,4.3
2023-06-13T16:16:02.390000Z,51.4427,-178.4426,16.252,5.3
2023-06-12T06:30:44.319000Z,52.803,-170.4383,114.088,4.0
2023-06-07T00:56:36.622000Z,57.0081,-155.9271,1.7,4.5
2023-06-06T16:06:50.959000Z,53.5032,-163.1656,17.032,4.7
2023-06-04T00:54:50.884000Z,53.5664,-163.472,13.656,4.6
2023-06-03T22:49:23.196000Z,53.5047,-163.2804,10.0,4.6
2023-06-03T15:24:57.954000Z,53.6118,-163.2904,23.755,4.8
2023-06-03T04:51:11.780000Z,52.2484,-178.678,188.751,4.1
2023-06-01T11:47:16.926000Z,51.3517,-178.5596,52.013,4.5
2023-05-27T16:49:23.315000Z,60.2811,-152.9733,136.3,4.4
2023-05-27T16:49:22.219000Z,60.2773,-152.9954,138.674,4.6
2023-05-26T02:17:59.513000Z,61.7042,-150.8255,56.6,4.2
2023-05-21T10:24:11.610000Z,52.8967,-166.9188,39.404,4.0
2023-05-18T21:08:23.765000Z,51.7942,-176.4854,59.825,4.6
2023-05-18T13:13:19.494000Z,52.5607,-176.2899,195.216,4.6
2023-05-17T05:34:56.385000Z,57.3197,-150.0386,11.8,4.0
2023-05-16T17:11:27.235000Z,53.0349,-173.7741,245.984,4.3
2023-05-13T20:19:47.593000Z,53.2325,-169.7939,111.563,5.4
2023-05-13T03:53:57.245000Z,61.0517,-151.1442,16.1,4.6
2023-05-13T02:27:43.598000Z,58.2256,-155.1918,4.3,4.0
2023-05-09T14:10:44.586000Z,53.6937,-167.3899,91.374,4.9
2023-05-08T14:54:08.849000Z,51.5219,-175.5047,43.136,4.5
2023-05-05T07:44:56.716000Z,58.5416,-154.0137,74.4,4.2
2023-05-05T07:34:14.541000Z,53.4719,-163.3784,16.685,4.6
2023-05-04T08:02:12.206000Z,54.1121,-162.8301,35.0,4.2
2023-05-03T16:52:39.527000Z,53.3081,-164.444,18.545,4.5
2023-04-24T13:09:11.266000Z,54.6707,-157.7449,5.7,4.8
2023-04-22T21:23:56.567000Z,55.4073,-157.0756,7.7,4.3
2023-04-22T12:54:50.516000Z,50.7276,-174.5045,10.0,4.6
2023-04-21T18:17:11.033000Z,52.3934,-175.8373,173.259,4.7
2023-04-10T00:16:56.357000Z,60.9876,-150.8293,55.5,4.8
2023-04-08T20:25:11.772000Z,53.9114,-165.4682,65.5,5.1
2023-04-08T20:25:11.772000Z,53.9114,-165.4682,65.5,5.1
2023-04-08T20:25:11.772000Z,53.9114,-165.4682,65.536,5.1
2023-04-08T20:25:11.143000Z,53.8134,-165.3562,56.2,5.1
2023-04-08T07:17:42.524000Z,51.7196,-175.3241,55.097,4.8
2023-03-26T01:43:02.371000Z,52.3979,-168.1901,38.347,4.1
2023-03-20T23:25:28.964000Z,53.8329,-169.7303,211.541,4.9
2023-03-19T15:06:27.280000Z,59.6095,-151.907,65.4,5.4
2023-03-19T10:12:11.887000Z,63.1047,-150.9621,122.4,4.2
2023-03-17T03:33:15.894000Z,52.6261,-170.072,57.861,4.0
2023-03-12T11:52:34.241000Z,51.4945,-178.3041,32.989,4.1
2023-03-11T00:38:58.759000Z,51.2339,-178.2776,35.0,4.6
2023-03-08T04:01:47.425000Z,60.1172,-153.4067,159.3,4.3
