time,lon,lat,depth,mag
2023-12-31T23:18:09.731000Z,143.5602,-4.259,133.548,4.2
2023-12-31T23:17:07.630000Z,-178.007167,51.848667,-1.8,1.42
2023-12-31T23:16:54.130000Z,-178.0065,51.850667,-1.8,0.98
2023-12-31T22:52:31.316000Z,141.4208,-2.6886,10.0,4.2
2023-12-31T22:13:49.174000Z,144.5892,13.9526,193.928,4.2
2023-12-31T21:20:14.970000Z,-177.2998,51.6816,68.4,1.9
2023-12-31T21:04:38.742000Z,-176.7454,51.5851,52.5,1.9
2023-12-31T19:19:14.340000Z,143.3492,12.2725,30.121,4.6
2023-12-31T17:57:43.659000Z,-166.9328,52.6259,1.0,2.0
2023-12-31T17:02:31.769000Z,-173.7285,52.1321,122.028,3.1
2023-12-31T17:00:47.300000Z,125.4144,9.6916,10.0,4.6
2023-12-31T16:36:23.339000Z,85.7818,27.7031,24.896,4.7
2023-12-31T16:22:48.595000Z,-173.7657,52.0168,16.4,2.0
2023-12-31T15:57:06.095000Z,-166.8524,52.5613,18.3,2.0
2023-12-31T15:29:46.480000Z,-166.935,53.835333,38.65,0.17
2023-12-31T15:23:14.621000Z,128.3381,4.0416,10.0,4.9
2023-12-31T14:40:45.981000Z,-176.6428,51.4057,31.2,2.0
2023-12-31T14:37:38.817000Z,130.6355,28.1765,28.634,4.8
2023-12-31T14:27:37.919000Z,105.0293,36.7711,10.0,5.3
2023-12-31T13:34:21.209000Z,107.8204,-6.7569,12.376,4.8
2023-12-31T12:04:00.157000Z,159.4924,52.8939,71.322,4.3
2023-12-31T11:55:28.701000Z,-174.3051,51.5251,45.272,3.8
2023-12-31T11:26:33.434000Z,-178.5463,51.615,78.3,2.4
2023-12-31T11:07:52.190000Z,-177.178,51.8935,0.83,-0.24
2023-12-31T10:19:12.811000Z,128.2819,3.992,35.0,4.5
2023-12-31T10:02:44.380000Z,-176.155833,52.100833,-1.8,0.44
2023-12-31T09:06:50.837000Z,-178.1187,51.326,56.548,3.0
